GeositeInfo_DataOwner,GeositeInfo_Identifier,GeositeInfo_GeositeType,GeositeInfo_Latitude,GeositeInfo_Longitude,WaterStrike_ConstructionCompletionDate,WaterStrike_YieldMeasurementMethod,WaterStrike_WaterStrikeType,WaterStrike_SeepageValue,WaterStrike_DepthToTop,WaterStrike_DepthToBottom,WaterStrike_TotalBlowYieldValue,WaterStrike_ContributionValue
Dept Water - Pretoria,2828DD00003,Borehole,-28.75811,28.83245,,,,,,,,
Dept Water - Pretoria,2828DD00004,Borehole,-28.75811,28.83273,,,,,,,,
Dept Water - Pretoria,2828DB00095,Borehole,-28.69995,28.86382,,,,,,,,
Dept Water - Pretoria,2828DB00098,Borehole,-28.65445,28.85283,,,,,,,,
Dept Water - Pretoria,2828DB00097,Borehole,-28.65286,28.85454,,,,,,,,
Dept Water - Pretoria,2828DB00096,Borehole,-28.65087,28.86381,,,,,,,,
Dept Water - Pretoria,2828DB00015,Borehole,-28.64451,28.87066,,,,,,,,
Dept Water - Pretoria,024594A,Borehole,-28.64418,28.86064,,,,,,,,
Dept Water - Pretoria,2828DB00023,Borehole,-28.64098,28.8733,1970/01/01,,Total Yield,,64.01,,4.38,
Dept Water - Pretoria,2828DB00024,Borehole,-28.64098,28.87422,1970/07/01,,Total Yield,,64.01,,0.95,
Dept Water - Pretoria,024594,Borehole,-28.64023,28.85536,,,,,,,,
Dept Water - Pretoria,002459A,Borehole,-28.63962,28.88362,1970/11/01,,Total Yield,,49.67,,2.02,
Dept Water - Pretoria,2828DB00044,Borehole,-28.63911,28.8831,,,,,,,,
Dept Water - Pretoria,2828DB00120,Borehole,-28.63657,28.80659,,,,,,,,
Dept Water - Pretoria,2828DB00084,Borehole,-28.63616,28.87402,,,,,,,,
Dept Water - Pretoria,2828DB00119,Borehole,-28.63612,28.80764,,,,,,,,
Dept Water - Pretoria,2828DB00083,Borehole,-28.63546,28.87416,,,,,,,,
Dept Water - Pretoria,2828DB00094,Borehole,-28.63346,28.90543,,,,,,,,
Dept Water - Pretoria,2828DB00093,Borehole,-28.63322,28.90426,,,,,,,,
Dept Water - Pretoria,2828DB00082,Borehole,-28.6325,28.87615,,,Total Yield,,27,,6.25,
Dept Water - Pretoria,2828DB00075,Borehole,-28.62804,28.87803,,,,,,,,
Dept Water - Pretoria,2828DB00073,Borehole,-28.62722,28.87622,,,,,,,,
Dept Water - Pretoria,2828DB00074,Borehole,-28.62665,28.87714,,,,,,,,
Dept Water - Pretoria,023394A,Borehole,-28.62471,28.8661,1973/05/01,,Individual Contribution,,51.2,,1.3001,1.3
Dept Water - Pretoria,023394A,Borehole,-28.62471,28.8661,1973/05/01,,Individual Contribution,0.0001,33.5,,1.3001,
Dept Water - Pretoria,2828DB00069,Borehole,-28.62404,28.86746,,,,,,,,
Dept Water - Pretoria,026114,Borehole,-28.61967,28.86669,1973/05/01,,Individual Contribution,,21,,7.6001,7.6
Dept Water - Pretoria,026114,Borehole,-28.61967,28.86669,1973/05/01,,Individual Contribution,0.0001,13,,7.6001,
Dept Water - Pretoria,2828DB00123,Borehole,-28.6195,28.8106,,,,,,,,
Dept Water - Pretoria,2828DB00040,Borehole,-28.61883,28.81375,,,,,,,,
Dept Water - Pretoria,024596A,Borehole,-28.61814,28.81347,1970/11/01,,Total Yield,,33.53,,0.76,
Dept Water - Pretoria,2828DB00014,Borehole,-28.61747,28.82741,,,,,,,,
Dept Water - Pretoria,2828DB00116,Borehole,-28.61699,28.83783,,,,,,,,
Dept Water - Pretoria,2828DB00101,Borehole,-28.61474,28.84333,,,,,,,,
Dept Water - Pretoria,023395,Borehole,-28.61263,28.86257,,,,,,,,
Dept Water - Pretoria,2828DB00020,Borehole,-28.61262,28.86209,,,,,,,,
Dept Water - Pretoria,2828DB00122,Borehole,-28.61241,28.81394,,,,,,,,
Dept Water - Pretoria,023395A,Borehole,-28.61206,28.86392,1970/02/01,,Total Yield,,64.01,,0.26,
